"session.p_id","session.pilot","session.complete","session.time_started","session.current_time","session.num_restarts","session.language","EDT.q1","EDT.q2","EDT.q3","EDT.q4","EDT.q5","EDT.q6","EDT.q7","EDT.q8","EDT.q9","EDT.q10","EDT.q11","EDT.q12","EDT.q13","EDT.q14","EDT.q15","EDT.q16","EDT.q17","EDT.q18","EDT.ability","EDT.ability_sem","EDT.num_items"
"029",FALSE,TRUE,2024-07-08 13:55:00.805893,2024-07-08 13:59:23.098672,0,"en",2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,0.693757870293442,0.342736101205998,18
"031",FALSE,TRUE,2024-07-08 15:45:28.441907,2024-07-08 15:48:43.998237,0,"en",2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,0.327524665734372,0.399810665993092,18
"000",FALSE,TRUE,2024-07-08 16:25:14.575074,2024-07-08 16:28:52.606556,0,"en",1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,-2.2967082826143,1.60392647756949,18
"032",FALSE,TRUE,2024-07-15 10:44:16.513921,2024-07-15 10:48:36.458473,0,"en",2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2.15014486124067,0.46026408440943,18
"030",FALSE,TRUE,2024-07-15 12:14:04.722915,2024-07-15 12:17:30.857934,0,"en",2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,1.40306394352005,0.399703073319355,18
"033",FALSE,TRUE,2024-08-07 15:29:09.241655,2024-08-07 15:32:44.312259,0,"en",2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1.81421723820999,0.387355919124517,18
"034",FALSE,TRUE,2024-08-13 13:16:45.138599,2024-08-13 13:20:14.504151,0,"en",2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1.69335908947464,0.773327560150855,18
"037",FALSE,TRUE,2024-08-26 16:21:00.105799,2024-08-26 16:24:19.667244,0,"en",2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,0.649365697134196,0.321447707144814,18
"TEAM_YA_036",FALSE,TRUE,2024-08-27 16:32:50.93789,2024-08-27 16:36:17.705234,0,"en",1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1.38641038031492,0.402156589308722,18
"TEAM_YA_038",FALSE,TRUE,2024-08-28 11:29:46.025573,2024-08-28 11:32:35.359831,0,"en",1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,0.00754560954074781,0.302186462810476,18
"040",FALSE,TRUE,2024-09-09 12:33:29.092897,2024-09-09 12:37:03.82386,0,"en",1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,0.00538087956039644,0.309474494699899,18
"TEAM_YA_042",FALSE,TRUE,2024-09-11 11:39:05.382436,2024-09-11 11:42:14.095904,0,"en",1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,0.808579677599169,0.331022085306483,18
"039",FALSE,TRUE,2024-09-11 15:21:53.584068,2024-09-11 15:24:30.448644,0,"en",2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2.48308901848822,0.77713264755065,18
"043",FALSE,TRUE,2024-09-13 12:16:30.494183,2024-09-13 12:20:58.620015,0,"en",1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1.69177160033631,0.36396500330255,18
"041",FALSE,TRUE,2024-09-16 11:51:14.753537,2024-09-16 11:54:30.147211,0,"en",1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2.15014486124067,0.46026408440943,18
"TEAM_YA_044",FALSE,TRUE,2024-09-16 13:52:39.768936,2024-09-16 13:55:50.083279,0,"en",1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,0.517252686168946,0.338338498220199,18
"028",FALSE,TRUE,2024-09-20 14:21:50.97175,2024-09-20 14:24:45.154209,0,"en",1,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,1.91120662002639,0.377192901784752,18
"TEAM_YA_045",FALSE,TRUE,2024-09-23 11:23:18.670331,2024-09-23 11:26:44.168852,0,"en",1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,-0.670970759464187,0.317000770666366,18
"053",FALSE,TRUE,2024-09-24 13:24:34.833785,2024-09-24 13:28:03.51718,0,"en",2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,0.124164679447656,0.313658586254074,18
"049",FALSE,TRUE,2024-09-25 11:16:20.60362,2024-09-25 11:19:11.580743,0,"en",2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2.15014486124067,0.46026408440943,18
"050",FALSE,TRUE,2024-09-30 11:51:59.043325,2024-09-30 11:56:10.794387,0,"en",1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1.29751278474525,0.396687121633607,18
"047_2",FALSE,TRUE,2024-10-01 16:17:53.085225,2024-10-01 16:20:27.743333,0,"en",2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,0.808579677599169,0.331022085306483,18
"052_2",FALSE,TRUE,2024-10-03 15:07:52.157698,2024-10-03 15:10:37.686045,0,"en",2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1.6824338813436,0.362728957676505,18
"051",FALSE,TRUE,2024-10-07 14:36:47.684903,2024-10-07 14:58:43.94547,1,"en",2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1.06608179413345,0.378366562293652,18
"046_2",FALSE,TRUE,2024-10-09 11:02:25.017243,2024-10-09 11:05:06.453694,0,"en",2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1.20760814717096,0.391245855772422,18
"302",FALSE,TRUE,2024-10-12 13:38:57.696422,2024-10-12 13:43:21.960518,0,"en",2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1.20760814717096,0.391245855772422,18
"303",FALSE,TRUE,2024-10-17 16:44:34.584532,2024-10-17 16:48:04.427931,0,"en",1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2.13714146555697,0.459611529230337,18
"TEAM_YA_055",FALSE,TRUE,2024-10-18 11:26:38.695528,2024-10-18 11:31:53.035103,0,"en",2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1.29751278474525,0.396687121633607,18
"058",FALSE,TRUE,2024-10-22 13:24:37.753782,2024-10-22 13:28:29.342506,0,"en",1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1.20760814717096,0.391245855772422,18
"054",FALSE,TRUE,2024-10-22 15:50:15.681872,2024-10-22 15:52:53.277443,0,"en",2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2.48308901848822,0.77713264755065,18
"TEAM_YA_056",FALSE,TRUE,2024-10-23 15:45:54.195313,2024-10-23 15:53:18.720384,0,"en",2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1.13100796974305,0.486604201604809,18
"307",FALSE,TRUE,2024-10-28 17:35:33.39995,2024-10-28 17:39:02.23816,0,"en",1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1.68328019655221,0.394133619005504,18
"048_2",FALSE,TRUE,2024-10-29 16:19:30.906566,2024-10-29 16:21:56.955135,0,"en",1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,-0.0668531956454027,0.309034555519246,18
"309",FALSE,TRUE,2024-10-30 16:29:47.126064,2024-10-30 16:37:30.438271,0,"en",2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2.48308901848822,0.77713264755065,18
"TEAM_YA_059",FALSE,TRUE,2024-10-31 13:27:40.252702,2024-10-31 13:31:24.076075,0,"en",2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,1,2.05476481183748,0.468659620507632,18
"308",FALSE,TRUE,2024-11-03 15:03:45.614877,2024-11-03 15:07:13.94414,0,"en",2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,0.327524665734372,0.399810665993092,18
"063",FALSE,TRUE,2024-11-06 14:10:49.518575,2024-11-06 14:14:15.30356,0,"en",2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,0.121466960736947,0.322439897284289,18
"313",FALSE,TRUE,2024-11-07 16:18:12.840269,2024-11-07 16:23:07.205143,2,"en",1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2.48308901848822,0.77713264755065,18
"310",FALSE,TRUE,2024-11-08 16:48:05.807221,2024-11-08 16:51:28.919877,0,"en",2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1.91120662002639,0.377192901784752,18
"TEAM_YA_065",FALSE,TRUE,2024-11-12 16:44:37.873268,2024-11-12 16:47:23.720939,0,"en",2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,0.606295319645676,0.361770679050447,18
"TEAM_YA_069",FALSE,TRUE,2024-11-13 14:05:49.208964,2024-11-13 14:08:35.145804,0,"en",1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,2,0.469163745261979,0.348734554936504,18
"TEAM_YA_064",FALSE,TRUE,2024-11-13 17:03:41.823567,2024-11-13 17:06:30.350299,0,"en",1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1.91120662002639,0.377192901784752,18
"test2",FALSE,TRUE,2024-11-18 13:16:08.744946,2024-11-18 13:18:28.88118,0,"en",2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1.11677925949192,0.354885995179165,18
"TEAM_YA_061",FALSE,TRUE,2024-11-18 17:58:14.699881,2024-11-18 18:01:19.124206,0,"en",1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,1,-0.820619953916603,0.429660938591543,18
"076",FALSE,TRUE,2024-11-19 10:32:51.000138,2024-11-19 10:35:53.058662,0,"en",1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,0.141728264335091,0.309061065100354,18
"067",FALSE,TRUE,2024-11-19 16:58:02.041926,2024-11-19 17:03:57.161277,1,"en",1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,0.0545416989749941,0.302682177772393,18
"062",FALSE,TRUE,2024-11-20 14:17:45.944945,2024-11-20 14:21:00.926391,0,"en",2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2.15014486124067,0.46026408440943,18
"TEAM_YA_074",FALSE,TRUE,2024-11-21 15:43:03.06981,2024-11-21 15:58:36.103066,1,"en",1,1,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,-2.29898074525489,1.88989777798652,18
"078",FALSE,TRUE,2024-11-22 13:43:02.816302,2024-11-22 13:45:43.207792,0,"en",2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1.71411233743422,0.360155532263238,18
"057",FALSE,TRUE,2024-11-25 10:36:22.60864,2024-11-25 10:40:18.413806,1,"en",1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,0.861035861710519,0.411834406951551,18
"TEAM_YA_081",FALSE,TRUE,2024-11-25 15:25:45.19745,2024-11-25 15:43:07.783774,0,"en",2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1.51001694457793,0.434816310914688,18
"077",FALSE,TRUE,2024-12-02 11:26:56.343042,2024-12-02 11:32:04.506223,1,"en",2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1.7122469921434,0.566997634077645,18
"068",FALSE,TRUE,2024-12-03 10:21:26.253506,2024-12-03 10:26:06.770601,1,"en",2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,0.548915658300583,0.365670524850649,18
"TEAM_YA_072",FALSE,TRUE,2024-12-05 12:31:01.424983,2024-12-05 12:44:04.98008,0,"en",1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2.15014486124067,0.46026408440943,18
"TEAM_YA_073",FALSE,TRUE,2024-12-06 14:03:27.709669,2024-12-06 14:06:48.772263,0,"en",1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,-0.553694407854412,0.320983166931367,18
"TEAM_DEV_318",FALSE,TRUE,2024-12-07 16:30:48.879394,2024-12-07 16:33:31.103618,0,"en",1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,0.506192769429035,0.368187882466766,18
"TEAM_YA_092",FALSE,TRUE,2024-12-10 15:30:14.717644,2024-12-10 15:33:25.908251,0,"en",2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1.5930413839842,0.363473286240815,18
"TEAM_YA_075",FALSE,TRUE,2024-12-12 16:27:13.553748,2024-12-12 16:31:30.100552,0,"en",1,1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1.89811199589548,0.376819328185352,18
"TEAM_YA_089",FALSE,TRUE,2024-12-16 14:30:23.323283,2024-12-16 14:32:54.104704,0,"en",2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1.87639780359155,0.62939964968062,18
"TEAM_YA_066",FALSE,TRUE,2024-12-16 16:27:33.150806,2024-12-16 16:30:20.682305,0,"en",1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,0.0288453504271111,0.335365562769844,18
"TEAM_YA_079",FALSE,TRUE,2024-12-18 15:38:06.135698,2024-12-18 15:41:06.095178,0,"en",1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1.29751278474525,0.396687121633607,18
"098",FALSE,TRUE,2025-01-10 10:21:21.987343,2025-01-10 10:24:44.373703,0,"en",2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0.8044459630882,0.329645784346894,18
"TEAM_YA_090",FALSE,TRUE,2025-01-10 12:30:00.710993,2025-01-10 12:58:45.119366,0,"en",1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,1,0.496078974723808,0.372056218386094,18
"TEAM_YA_100",FALSE,TRUE,2025-01-10 15:34:31.466169,2025-01-10 15:37:25.168003,0,"en",2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,-0.111385685452445,0.309092187826592,18
"TEAM_DEV_315",FALSE,TRUE,2025-01-11 13:49:15.72054,2025-01-11 13:53:41.197223,1,"en",1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,-0.0779897116163413,0.313235751127672,18
"TEAM_DEV_304",FALSE,TRUE,2025-01-11 14:15:20.787852,2025-01-11 14:18:28.267808,0,"en",1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1.69335908947464,0.773327560150855,18
"TEAM_YA_101",FALSE,TRUE,2025-01-13 11:29:11.423118,2025-01-13 11:34:10.099949,1,"en",2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,0.79476701719912,0.332234664090241,18
"TEAM_YA_099",FALSE,TRUE,2025-01-15 14:03:18.048977,2025-01-15 14:06:29.947903,0,"en",1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,-0.184847633059132,0.332722844748388,18
"TEAM_YA_103",FALSE,TRUE,2025-01-15 16:57:37.183091,2025-01-15 17:00:42.197084,0,"en",1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2.13714146555697,0.459611529230337,18
"TEAM_YA_102",FALSE,TRUE,2025-01-16 13:02:03.82118,2025-01-16 13:17:28.924624,0,"en",2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,0.693757870293442,0.342736101205998,18
"TEAM_YA_104",FALSE,TRUE,2025-01-16 14:20:40.051887,2025-01-16 14:43:39.153938,0,"en",2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1.630833220027,0.364640520030593,18
"TEAM_YA_112",FALSE,TRUE,2025-01-17 13:52:10.353396,2025-01-17 13:56:03.304507,0,"en",1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2.15014486124067,0.46026408440943,18
"TEAM_DEV_319",FALSE,TRUE,2025-01-18 13:40:14.810032,2025-01-18 13:43:50.156889,0,"en",2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0.205636010292531,0.314569212521147,18
"TEAM_YA_111",FALSE,TRUE,2025-01-21 10:32:58.112718,2025-01-21 10:52:28.362835,0,"en",2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,2.05476481183748,0.468659620507632,18
"TEAM_YA_108",FALSE,TRUE,2025-01-21 13:03:25.853901,2025-01-21 13:06:38.403858,0,"en",1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,0.790700565926822,0.394090633124809,18
"TEAM_YA_106",FALSE,TRUE,2025-01-22 10:57:08.260321,2025-01-22 11:01:15.05158,0,"en",2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1.86805876554498,0.380384742392039,18
"TEAM_YA_113",FALSE,TRUE,2025-01-22 12:36:36.254523,2025-01-22 12:59:38.319439,0,"en",2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,0.763911072452711,0.342374236876333,18
"TEAM_DEV_320",FALSE,TRUE,2025-01-26 14:10:11.560234,2025-01-26 14:14:36.110947,1,"en",2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1.90461601170326,0.37704127895851,18
"TEAM_YA_097",FALSE,TRUE,2025-01-27 16:51:40.2157,2025-01-27 16:56:58.149888,0,"en",2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,0.71575558079412,0.343521685912793,18
"TEAM_YA_109",FALSE,TRUE,2025-01-28 16:32:08.436214,2025-01-28 16:51:44.778736,1,"en",1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1.46609580287777,0.392135038080783,18
"TEAM_DEV_328",FALSE,TRUE,2025-01-30 17:12:50.406991,2025-01-30 17:15:58.693977,0,"en",1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,1,2,0.861035861710519,0.411834406951551,18
"331",FALSE,TRUE,2025-02-08 13:12:02.377708,2025-02-08 13:15:40.390159,0,"en",1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,-0.838092648741551,0.508000029638798,18
"TEAM_DEV_332",FALSE,TRUE,2025-02-08 15:14:54.909534,2025-02-08 15:19:32.818618,0,"en",1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,-0.0655429946041532,0.30829438214404,18
"TEAM_DEV_335",FALSE,TRUE,2025-02-18 11:13:36.307195,2025-02-18 11:17:28.701948,0,"en",1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,0.808579677599169,0.331022085306483,18
"TEAM_DEV_325",FALSE,TRUE,2025-02-18 13:50:27.674729,2025-02-18 13:55:13.528481,0,"en",2,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,0.602941553659618,0.324312269092623,18
"TEAM_DEV_317",FALSE,TRUE,2025-02-19 11:54:11.5774,2025-02-19 11:57:53.804134,0,"en",2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,-0.200164780014365,0.33469843757912,18
"TEAM_DEV_316",FALSE,TRUE,2025-02-19 12:13:36.93924,2025-02-19 12:16:34.540069,0,"en",2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1.61858747111928,0.365972607948601,18
"TEAM_DEV_336",FALSE,TRUE,2025-02-21 10:23:17.67271,2025-02-21 10:26:55.865633,0,"en",1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,1,0.351877289352354,0.324386789595545,18
"TEAM_DEV_338",FALSE,TRUE,2025-02-25 12:16:59.40327,2025-02-25 12:20:05.031726,0,"en",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1.72740595502446,0.361737549012444,18
