,SectionID,original song,File name,Start time,End time,,"(V, A) initial to (V, A) final",Thoughts based on graph,
"Negative Valence, Negative Arousal",Section 2,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_2,75.0,83.0,,"(–0.047, –0.013) to (–0.051, –0.007)","Arousal is also really close to 0, but very little change",More negative arousal than above
65.5 to 87.5 for 11 (2 clips),Section 3,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_1,3.0,11.0,,"(–0.003, –0.098) to (–0.004, –0.116)",Valence is really close to 0,
0.5 to 12.0 of 5 (1 clip) and 27.5 to 120.0 (11 clips),Section 5,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_3,38.0,46.0,Same melody as above,"(–0.010, –0.127) to (–0.017, –0.105)",Decent,"More negative valence than above, but less negative arousal"
,Section 6,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_4,48.0,56.0,Same melody as above ,"(–0.021, –0.094) to (–0.027, –0.069)",Decent,"More negative valence than both above, but less negative arousal"
,Section 7,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_5,68.0,76.0,"Same melody as above, prefer these above all three","(–0.041, –0.064) to (–0.038, –0.062)","Good, very little change","More negative valence than all three above, but less negative arousal"
,Section 8,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_6,103.0,111.0,,"(–0.041, –0.038) to (–0.046, –0.034)","Solid, little change","How is this low arousal… weird transition section, not a fan"
NEW HERE,Section 9,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_9,85.0,93.0,,"(–0.012, –0.048) to (–0.026, –0.045)",Very good,
,Section 10,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_10,94.0,102.0,,"(–0.029, –0.045) to (–0.040, –0.038)",Good,"Theme from 103-111 section returns here, weird transition"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Negative Valence, Positive Arousal",Section 1,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_3,11.0,19.0,,"(–0.049, 0.047) to (–0.046, 0.043)",,Sounds similar to 19-27 section
0.5 to 50 (6 clips) of 11 and 88 to 120 (4 clips),Section 2,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_4,32.0,40.0,,"(–0.034, 0.042) to (–0.041, 0.014)",,Good
,Section 3,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_5,104.0,112.0,#changed by 1 sec,"(–0.083, 0.050) to (–0.091, 0.040)",,Feels calm
,Section 4,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_2,97.0,105.0,,"(–0.011, 0.056) to (–0.011, 0.048)",,
,Section 5,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_1,110.0,118.0,,"(–0.014, 0.057) to (–0.031, 0.091)",,
,Section 9,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_6,19.0,27.0,,"(–0.046, 0.043) to (–0.044, 0.047)",,Sounds similar to 11-19 section
,Section 11,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_8,95.0,103.0,,"(–0.069, 0.029) to (–0.082, 0.051)",,
,Section 12,stimuli/11_pieceA_calm_anxious_sad,11_pieceA_calm_anxious_sad_9,112.0,120.0,,"(–0.091, 0.040) to (–0.093, 0.124)",Steep change in arousal,Sounds similar to 104-112 section
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Positive Valence, Positive Arousal",Section 2,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_4,10.0,18.0,Similar to above,"(0.018, 0.159) to (0.017, 0.165)",,
,Section 3,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_5,19.0,27.0,"Similar to above, my preferred one","(0.016, 0.165) to (0.020, 0.150)",,
,Section 4,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_6,42.0,50.0,"Feels more scary than positive, also annoying tremolo","(0.019, 0.112) to (0.017, 0.119)",,
,Section 5,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_7,62.0,70.0,,"(0.014, 0.092) to (0.014, 0.089)",,
,Section 6,stimuli/3_pieceB_joyous_anxious_sad,3_pieceB_joyous_anxious_sad_8,72.0,80.0,Also feels scary,"(0.013, 0.090) to (0.009, 0.082)",,
32 to 94.5,Section 9,stimuli/6_pieceB_anxious_calm_joyous,6_pieceB_anxious_calm_joyous_2,53.0,61.0,,"(0.014, 0.026) to (0.018, 0.034)",,
,Section 10,stimuli/6_pieceB_anxious_calm_joyous,6_pieceB_anxious_calm_joyous_3,66.0,74.0,,"(0.019, 0.037) to (0.018, 0.030)",,Sounds like above
,Section 11,stimuli/6_pieceB_anxious_calm_joyous,6_pieceB_anxious_calm_joyous_4,77.0,85.0,,"(0.014, 0.029) to (0.015, 0.033)",,Sounds like above
0.5 to 56.5 and 74.0 to 90.5,Section 12,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_3,4.0,12.0,,"(0.021, 0.099) to (0.026, 0.092)",,
,Section 13,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_4,13.0,21.0,,"(0.025, 0.091) to (0.019, 0.075)",,Sounds like above but cooler
,Section 14,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_5,22.0,30.0,,"(0.018, 0.070) to (0.022, 0.029)",,Sounds like above but cooler I love the run
,Section 15,stimuli/7_pieceB_joyous_anxious_sad,7_pieceB_joyous_anxious_sad_6,31.0,39.0,,"(0.024, 0.028) to (0.024, 0.041)",,Sounds like above
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Positive Valence, Negative Arousal",Section 1,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_1,1.0,9.0,,"(0.046, –0.049) to (0.061, –0.073)",,
16 clips,Section 2,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_2,10.0,18.0,Sounds like above,"(0.062, –0.076) to (0.059, –0.083)",,I prefer this over the above
,Section 3,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_3,19.0,27.0,,"(0.060, –0.084) to (0.058, –0.077)",,
,Section 4,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_4,28.0,36.0,,"(0.058, –0.074) to (0.059, –0.056)",,Sounds like above
,Section 5,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_5,37.0,45.0,,"(0.059, –0.055) to (0.056, –0.054)",,Bass feels ominous
,Section 6,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_6,46.0,54.0,,"(0.054, –0.052) to (0.050, –0.041)",,Bass feels ominous
,Section 7,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_7,55.0,63.0,,"(0.050, –0.041) to (0.042, –0.046)",,Bass feels ominous
,Section 8,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_8,64.0,72.0,,"(0.040, –0.047) to (0.024, –0.050)",,No bass!
,Section 9,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_9,73.0,81.0,,"(0.023, –0.049) to (0.023, –0.036)",,Better than above
,Section 10,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_10,82.0,90.0,,"(0.023, –0.035) to (0.015, –0.026)",,Ending section
,Section 11,stimuli/12_pieceA_joyous_sad_anxious,12_pieceA_joyous_sad_anxious_11,93.0,101.0,,"(0.013, –0.019) to (0.008, –0.017)",,
,Section 13,stimuli/5_pieceB_calm_sad_anxious,5_pieceB_calm_sad_anxious_7,15.5,23.5,,"(0.014, –0.114) to (0.015, –0.124)",,
,Section 15,stimuli/6_pieceB_anxious_calm_joyous,6_pieceB_anxious_calm_joyous_6,103.5,111.5,Sounds similar to above,"(0.028, –0.033) to (0.029, –0.048)",,